B.S:2076-11-7A.D:2020-02-19,Local:21:13 UTC:15:28,29.71,81.69,4.3,NSC/RSC,Bajura/Humla
B.S:2079-5-4A.D:2022-08-19,Local:01:28 UTC:19:43,28.24,81.77,4.8,NEMRC,Banke
B.S:2079-2-28A.D:2022-06-10,Local:02:36 UTC:20:51,27.7,85.41,4.7,NEMRC,Bhaktapur
B.S:2076-3-21A.D:2019-07-06,Local:16:15 UTC:10:30,27.67,85.42,4.6,NSC,Bhaktapur
B.S:2080-5-16A.D:2023-09-01,Local:01:11 UTC:19:26,27.37,87.06,4,NEMRC/DMG,Bhojpur
B.S:2075-10-8A.D:2019-01-22,Local:22:30 UTC:16:45,27.09,86.96,4.5,NSC,Bhojpur
B.S:2077-12-23A.D:2021-04-05,Local:21:04 UTC:15:19,26.75,89.09,5.8,NEMRC,India
B.S:2079-11-29A.D:2023-03-13,Local:18:56 UTC:13:11,28.95,81.68,4.1,NEMRC/SC/DMG,Dailekh
B.S:2078-4-3A.D:2021-07-18,Local:20:59 UTC:15:14,28.98,81.47,4.3,NEMRC/SC,Dailekh
B.S:2076-1-29A.D:2019-05-11,Local:00:36 UTC:18:51,28.98,81.78,5.1,RSC/NSC,Dailekh
B.S:2075-12-18A.D:2019-04-01,Local:20:47 UTC:15:02,28.98,81.69,4.1,RSC/NSC,Dailekh
B.S:2075-6-20A.D:2018-10-06,Local:10:52 UTC:05:07,28.94,81.72,4.3,RSC/NSC,Dailekh
B.S:2075-6-19A.D:2018-10-05,Local:21:45 UTC:16:00,28.93,81.7,4,RSC/NSC,Dailekh
B.S:2075-6-19A.D:2018-10-05,Local:12:53 UTC:07:08,28.94,81.74,4,RSC/NSC,Dailekh
B.S:2075-4-2A.D:2018-07-18,Local:11:15 UTC:05:30,29.02,81.51,4.2,RSC/NSC,Dailekh
B.S:2075-2-17A.D:2018-05-31,Local:21:45 UTC:16:00,28.9,81.77,4.3,RSC/NSC,Dailekh
B.S:2074-3-31A.D:2017-07-15,Local:10:20 UTC:04:35,28.94,81.75,4,NSC/RSC,Dailekh
B.S:2080-3-5A.D:2023-06-19,Local:04:55 UTC:23:10,29.78,80.92,4,NEMRC/SC/DMG,Darchula
B.S:2079-9-7A.D:2022-12-21,Local:01:00 UTC:19:15,30,80.74,4.1,NEMRC/SC/DMG,Darchula
B.S:2079-3-26A.D:2022-07-10,Local:19:49 UTC:14:04,29.82,80.76,4.2,NEMRC/SC,Darchula
B.S:2077-9-28A.D:2021-01-12,Local:09:48 UTC:04:03,29.89,80.7,4.2,NEMRC/SC,Darchula
B.S:2074-9-13A.D:2017-12-28,Local:13:30 UTC:07:45,29.82,80.76,4.5,RSC/NSC,Darchula
B.S:2073-10-28A.D:2017-02-10,Local:16:58 UTC:11:13,29.88,80.61,4.1,NSC/RSC,Darchula
B.S:2072-6-12A.D:2015-09-29,Local:15:12 UTC:09:27,29.83,80.6,4.6,RSC,Darchula
B.S:2072-3-30A.D:2015-07-15,Local:08:14 UTC:02:29,29.8,80.73,4.1,RSC,Darchula
B.S:2076-5-30A.D:2019-09-16,Local:20:18 UTC:14:33,29.8,80.48,4.4,NSC/RSC,Darchula
B.S:2079-9-3A.D:2022-12-18,Local:22:53 UTC:17:08,28.26,85.06,4.5,NEMRC/DMG,Dhading
B.S:2077-5-24A.D:2020-09-09,Local:15:48 UTC:10:03,27.92,84.94,4,NSC,Dhading
B.S:2077-2-17A.D:2020-05-30,Local:21:36 UTC:15:51,27.85,84.93,4.8,NSC,Dhading
B.S:2076-12-12A.D:2020-03-25,Local:18:36 UTC:12:51,28.01,84.97,4,NSC,Dhading
B.S:2076-3-12A.D:2019-06-27,Local:22:21 UTC:16:36,27.95,84.8,4,NSC,Dhading
B.S:2076-2-3A.D:2019-05-17,Local:14:08 UTC:08:23,27.85,84.87,5,NSC,Dhading
B.S:2076-1-11A.D:2019-04-24,Local:06:40 UTC:00:55,27.7,85.14,4.3,NSC,Dhading
B.S:2076-1-11A.D:2019-04-24,Local:06:29 UTC:00:44,27.69,85.17,5.2,NSC,Dhading
B.S:2075-4-8A.D:2018-07-24,Local:08:30 UTC:02:45,27.75,84.87,4.8,NSC,Dhading
B.S:2075-4-1A.D:2018-07-17,Local:22:52 UTC:17:07,27.82,84.81,4.4,NSC,Dhading
B.S:2075-3-21A.D:2018-07-05,Local:07:21 UTC:01:36,28.11,85.04,4.1,NSC,Dhading
B.S:2075-3-14A.D:2018-06-28,Local:09:52 UTC:04:07,27.87,84.91,5,NSC,Dhading
B.S:2073-11-7A.D:2017-02-18,Local:06:00 UTC:00:15,27.79,84.8,4,NSC,Dhading
B.S:2073-2-12A.D:2016-05-24,Local:00:54 UTC:19:09,27.73,85.16,4.2,NSC/RSC,Dhading
B.S:2073-1-29A.D:2016-05-11,Local:07:04 UTC:01:19,28.01,84.94,4.4,NSC,Dhading
B.S:2072-11-30A.D:2016-03-13,Local:11:00 UTC:05:15,27.83,84.9,4.8,NSC,Dhading
B.S:2072-8-27A.D:2015-12-13,Local:08:45 UTC:03:00,28.04,85.02,4.1,NSC,Dhading
B.S:2072-6-5A.D:2015-09-22,Local:12:17 UTC:06:32,27.74,85.07,4.5,NSC,Dhading
B.S:2072-5-14A.D:2015-08-30,Local:03:09 UTC:21:24,27.92,84.94,4.3,NSC,Dhading
B.S:2072-3-20A.D:2015-07-04,Local:01:49 UTC:20:04,27.73,85,4.6,NSC,Dhading
B.S:2072-3-3A.D:2015-06-18,Local:08:24 UTC:02:39,28.14,85.11,4.1,NSC,Dhading
B.S:2072-2-16A.D:2015-05-30,Local:07:37 UTC:01:52,27.75,85.21,4,NSC,Dhading
B.S:2072-2-15A.D:2015-05-29,Local:18:15 UTC:12:30,28.01,84.84,4.8,NSC,Dhading
B.S:2072-2-15A.D:2015-05-29,Local:11:05 UTC:05:20,28.07,84.94,4.2,NSC,Dhading
B.S:2072-2-15A.D:2015-05-29,Local:09:29 UTC:03:44,28,84.98,5.2,NSC,Dhading
B.S:2072-2-14A.D:2015-05-28,Local:09:25 UTC:03:40,27.95,84.8,4,NSC,Dhading
