date,time,latitude,longitude,magnitude,remarks,epicenter
2021-04-05,21:04,26.75,89.09,5.8,NEMRC,"binnaguri, india"
2021-03-18,10:05,27.5,85.63,4.1,NEMRC,kavrepalanchok
2021-03-03,18:43,27.79,86.35,4.2,NEMRC,dolakha
2021-02-09,07:35,27.89,87.91,5.4,NEMRC,taplejung
2021-02-04,03:58,27.78,88.15,4.5,NEMRC,taplejung
2021-02-02,21:59,28.78,84.1,5.3,NEMRC,manang
2021-01-14,17:25,27.66,86.18,4.0,NEMRC,dolakha
2021-01-12,09:48,29.89,80.7,4.2,NEMRC/SC,darchula
2021-01-03,10:44,27.66,87.62,4.4,NEMRC,taplejung
2020-12-29,01:49,27.66,86.34,4.6,NEMRC,ramechhap
2020-12-08,19:08,27.77,87.86,4.2,NEMRC,taplejung
2020-12-02,13:42,27.75,85.87,4.2,NEMRC,sindhupalchok
2020-11-08,03:29,27.73,87.87,4.9,NEMRC,taplejung
2020-10-28,00:19,29.58,80.81,4.2,NEMRC/SC,bajhang
2020-10-24,16:17,27.62,86.24,4.0,NEMRC,dolakha
2020-09-15,05:19,27.77,85.88,6.0,NEMRC,sindhupalchowk
2020-09-11,09:30,26.76,88.21,5.0,NEMRC,nepal india  border
2020-09-09,15:48,27.92,84.94,4.0,NSC,dhading
2020-09-04,07:20,27.58,87.19,4.0,NSC,sankhuwasabha
2020-08-25,21:09,29.59,80.89,4.7,NSC/RSC,bajhang
2020-08-15,16:07,27.8,87.62,4.2,NSC,sankhuwasabha
2020-06-16,09:53,27.88,86.2,4.1,NSC,dolakha
2020-05-30,21:36,27.85,84.93,4.8,NSC,dhading
2020-05-26,16:00,29.73,82.01,4.2,NSC/RSC,humla/mugu
2020-05-12,23:53,27.65,86.15,5.3,NSC,dolakha
2020-04-15,00:55,27.55,86.59,4.7,NSC,solukhumbu
2020-04-02,20:55,29.58,80.96,4.0,NSC/RSC,bajhang
2020-03-25,18:36,28.01,84.97,4.0,NSC,dhading
2020-03-15,20:45,28.34,83.8,5.0,NSC,kaski
2020-03-04,19:17,27.79,86.18,4.3,NSC,dolakha
2020-02-19,21:13,29.71,81.69,4.3,NSC/RSC,bajura/humla
2020-01-28,07:59,29.61,81.71,4.2,NSC/RSC,bajura
2020-01-12,02:07,29.59,81.73,4.2,NSC/RSC,bajura
2020-01-12,20:19,29.58,81.71,4.5,NSC/RSC,bajura
2019-12-12,19:11,27.95,85.59,4.8,NSC,sindhupalchowk
2019-11-27,22:08,27.79,85.79,5.0,NSC,sindhupalchowk
2019-11-19,19:15,29.42,81.1,5.7,NSC/RSC,bajhang
2019-11-12,07:45,30.2,80.1,4.6,NSC/RSC,india
